,o_state_id,o_state_name,d_state_id,d_state_name,race,quintile,n
162,1,Alabama,9,Connecticut,Hispanic,3,1
163,1,Alabama,9,Connecticut,Hispanic,4,0
164,1,Alabama,9,Connecticut,Hispanic,5,1
165,1,Alabama,9,Connecticut,Other,1,13
166,1,Alabama,9,Connecticut,Other,2,3
167,1,Alabama,9,Connecticut,Other,3,1
168,1,Alabama,9,Connecticut,Other,4,0
169,1,Alabama,9,Connecticut,Other,5,1
170,1,Alabama,9,Connecticut,White,1,19
171,1,Alabama,9,Connecticut,White,2,21
172,1,Alabama,9,Connecticut,White,3,44
173,1,Alabama,9,Connecticut,White,4,43
174,1,Alabama,9,Connecticut,White,5,54
175,1,Alabama,11,DC,Asian,1,2
176,1,Alabama,11,DC,Asian,2,5
177,1,Alabama,11,DC,Asian,3,5
178,1,Alabama,11,DC,Asian,4,6
179,1,Alabama,11,DC,Asian,5,16
180,1,Alabama,11,DC,Black,1,177
181,1,Alabama,11,DC,Black,2,138
182,1,Alabama,11,DC,Black,3,82
183,1,Alabama,11,DC,Black,4,60
184,1,Alabama,11,DC,Black,5,50
185,1,Alabama,11,DC,Hispanic,1,4
186,1,Alabama,11,DC,Hispanic,2,6
187,1,Alabama,11,DC,Hispanic,3,17
188,1,Alabama,11,DC,Hispanic,4,13
189,1,Alabama,11,DC,Hispanic,5,8
190,1,Alabama,11,DC,Other,1,20
191,1,Alabama,11,DC,Other,2,17
192,1,Alabama,11,DC,Other,3,14
193,1,Alabama,11,DC,Other,4,10
194,1,Alabama,11,DC,Other,5,18
195,1,Alabama,11,DC,White,1,67
196,1,Alabama,11,DC,White,2,137
197,1,Alabama,11,DC,White,3,184
198,1,Alabama,11,DC,White,4,247
199,1,Alabama,11,DC,White,5,572
200,1,Alabama,10,Delaware,Asian,1,0
201,1,Alabama,10,Delaware,Asian,2,0
202,1,Alabama,10,Delaware,Asian,3,0
203,1,Alabama,10,Delaware,Asian,4,0
204,1,Alabama,10,Delaware,Asian,5,1
205,1,Alabama,10,Delaware,Black,1,22
206,1,Alabama,10,Delaware,Black,2,8
207,1,Alabama,10,Delaware,Black,3,4
208,1,Alabama,10,Delaware,Black,4,2
209,1,Alabama,10,Delaware,Black,5,4
210,1,Alabama,10,Delaware,Hispanic,1,3
211,1,Alabama,10,Delaware,Hispanic,2,1
212,1,Alabama,10,Delaware,Hispanic,3,2
213,1,Alabama,10,Delaware,Hispanic,4,1
214,1,Alabama,10,Delaware,Hispanic,5,0
215,1,Alabama,10,Delaware,Other,1,4
216,1,Alabama,10,Delaware,Other,2,2
217,1,Alabama,10,Delaware,Other,3,3
218,1,Alabama,10,Delaware,Other,4,1
219,1,Alabama,10,Delaware,Other,5,2
220,1,Alabama,10,Delaware,White,1,7
221,1,Alabama,10,Delaware,White,2,15
222,1,Alabama,10,Delaware,White,3,22
223,1,Alabama,10,Delaware,White,4,21
224,1,Alabama,10,Delaware,White,5,18
225,1,Alabama,12,Florida,Asian,1,11
226,1,Alabama,12,Florida,Asian,2,9
227,1,Alabama,12,Florida,Asian,3,10
228,1,Alabama,12,Florida,Asian,4,18
229,1,Alabama,12,Florida,Asian,5,13
230,1,Alabama,12,Florida,Black,1,1312
231,1,Alabama,12,Florida,Black,2,784
232,1,Alabama,12,Florida,Black,3,263
233,1,Alabama,12,Florida,Black,4,170
234,1,Alabama,12,Florida,Black,5,96
235,1,Alabama,12,Florida,Hispanic,1,108
236,1,Alabama,12,Florida,Hispanic,2,73
237,1,Alabama,12,Florida,Hispanic,3,39
238,1,Alabama,12,Florida,Hispanic,4,57
239,1,Alabama,12,Florida,Hispanic,5,35
240,1,Alabama,12,Florida,Other,1,259
241,1,Alabama,12,Florida,Other,2,161
242,1,Alabama,12,Florida,Other,3,111
243,1,Alabama,12,Florida,Other,4,76
244,1,Alabama,12,Florida,Other,5,46
245,1,Alabama,12,Florida,White,1,1293
246,1,Alabama,12,Florida,White,2,1349
247,1,Alabama,12,Florida,White,3,1617
248,1,Alabama,12,Florida,White,4,1612
249,1,Alabama,12,Florida,White,5,1607
250,1,Alabama,13,Georgia,Asian,1,28
251,1,Alabama,13,Georgia,Asian,2,21
252,1,Alabama,13,Georgia,Asian,3,27
253,1,Alabama,13,Georgia,Asian,4,23
254,1,Alabama,13,Georgia,Asian,5,38
255,1,Alabama,13,Georgia,Black,1,3153
256,1,Alabama,13,Georgia,Black,2,2240
257,1,Alabama,13,Georgia,Black,3,722
258,1,Alabama,13,Georgia,Black,4,449
259,1,Alabama,13,Georgia,Black,5,321
260,1,Alabama,13,Georgia,Hispanic,1,104
261,1,Alabama,13,Georgia,Hispanic,2,66
262,1,Alabama,13,Georgia,Hispanic,3,56
263,1,Alabama,13,Georgia,Hispanic,4,39
264,1,Alabama,13,Georgia,Hispanic,5,49
265,1,Alabama,13,Georgia,Other,1,457
266,1,Alabama,13,Georgia,Other,2,266
267,1,Alabama,13,Georgia,Other,3,134
268,1,Alabama,13,Georgia,Other,4,84
269,1,Alabama,13,Georgia,Other,5,86
270,1,Alabama,13,Georgia,White,1,1466
271,1,Alabama,13,Georgia,White,2,1732
272,1,Alabama,13,Georgia,White,3,2059
273,1,Alabama,13,Georgia,White,4,2258
274,1,Alabama,13,Georgia,White,5,2900
275,1,Alabama,15,Hawaii,Asian,1,1
276,1,Alabama,15,Hawaii,Asian,2,2
277,1,Alabama,15,Hawaii,Asian,3,1
278,1,Alabama,15,Hawaii,Asian,4,1
279,1,Alabama,15,Hawaii,Asian,5,0
280,1,Alabama,15,Hawaii,Black,1,68
281,1,Alabama,15,Hawaii,Black,2,53
282,1,Alabama,15,Hawaii,Black,3,16
283,1,Alabama,15,Hawaii,Black,4,14
284,1,Alabama,15,Hawaii,Black,5,5
285,1,Alabama,15,Hawaii,Hispanic,1,3
286,1,Alabama,15,Hawaii,Hispanic,2,2
287,1,Alabama,15,Hawaii,Hispanic,3,4
288,1,Alabama,15,Hawaii,Hispanic,4,2
289,1,Alabama,15,Hawaii,Hispanic,5,3
290,1,Alabama,15,Hawaii,Other,1,10
291,1,Alabama,15,Hawaii,Other,2,11
292,1,Alabama,15,Hawaii,Other,3,12
293,1,Alabama,15,Hawaii,Other,4,7
294,1,Alabama,15,Hawaii,Other,5,3
295,1,Alabama,15,Hawaii,White,1,44
296,1,Alabama,15,Hawaii,White,2,55
297,1,Alabama,15,Hawaii,White,3,78
298,1,Alabama,15,Hawaii,White,4,84
299,1,Alabama,15,Hawaii,White,5,69
300,1,Alabama,16,Idaho,Asian,1,1
301,1,Alabama,16,Idaho,Asian,2,1
302,1,Alabama,16,Idaho,Asian,3,0
303,1,Alabama,16,Idaho,Asian,4,1
304,1,Alabama,16,Idaho,Asian,5,0
305,1,Alabama,16,Idaho,Black,1,4
306,1,Alabama,16,Idaho,Black,2,8
307,1,Alabama,16,Idaho,Black,3,3
308,1,Alabama,16,Idaho,Black,4,1
309,1,Alabama,16,Idaho,Black,5,1
310,1,Alabama,16,Idaho,Hispanic,1,3
311,1,Alabama,16,Idaho,Hispanic,2,1
312,1,Alabama,16,Idaho,Hispanic,3,3
313,1,Alabama,16,Idaho,Hispanic,4,0
314,1,Alabama,16,Idaho,Hispanic,5,1
315,1,Alabama,16,Idaho,Other,1,0
316,1,Alabama,16,Idaho,Other,2,2
317,1,Alabama,16,Idaho,Other,3,0
318,1,Alabama,16,Idaho,Other,4,5
319,1,Alabama,16,Idaho,Other,5,1
320,1,Alabama,16,Idaho,White,1,10
321,1,Alabama,16,Idaho,White,2,22
322,1,Alabama,16,Idaho,White,3,21
323,1,Alabama,16,Idaho,White,4,35
324,1,Alabama,16,Idaho,White,5,22
325,1,Alabama,17,Illinois,Asian,1,5
326,1,Alabama,17,Illinois,Asian,2,4
327,1,Alabama,17,Illinois,Asian,3,5
328,1,Alabama,17,Illinois,Asian,4,5
329,1,Alabama,17,Illinois,Asian,5,3
330,1,Alabama,17,Illinois,Black,1,232
331,1,Alabama,17,Illinois,Black,2,142
332,1,Alabama,17,Illinois,Black,3,40
333,1,Alabama,17,Illinois,Black,4,33
334,1,Alabama,17,Illinois,Black,5,15
335,1,Alabama,17,Illinois,Hispanic,1,15
336,1,Alabama,17,Illinois,Hispanic,2,5
337,1,Alabama,17,Illinois,Hispanic,3,11
338,1,Alabama,17,Illinois,Hispanic,4,7
339,1,Alabama,17,Illinois,Hispanic,5,10
340,1,Alabama,17,Illinois,Other,1,35
